,company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
5520,/organization/amsterdam-systems,/funding-round/3292f11e1e128272195d667e38fa88f2,angel,,01-12-2010,130000.0
5521,/organization/amsterdam-systems,/funding-round/69c5566c16f1177d78839f79796b6a72,angel,,01-05-2011,100000.0
5522,/organization/amsterdam-systems,/funding-round/8f30f6af25c52f68b5ed05d35fb46db2,angel,,01-10-2010,30000.0
5582,/organization/anagear,/funding-round/fa91d8fd028e3b94649ec8e97b90b7d9,angel,,11-01-2012,
5589,/organization/anakage,/funding-round/44bea972166b3f700ba75dfd765ca9ac,angel,,03-12-2015,
5596,/organization/analogy-co,/funding-round/fbb6cd462ef700f7cee2d3b182bb2390,angel,,01-01-2014,250000.0
5660,/organization/anchor-id-inc,/funding-round/3b33ab392e3661361652ca98c3ef620a,angel,,01-10-2014,300000.0
5688,/organization/andegavia-cask-wines,/funding-round/660e6ab540580ca40e0acf5670ae96f7,angel,,31-07-2014,625000.0
5760,/organization/angel-club,/funding-round/86e52cb5d06f4456c4e708263ffc32ec,angel,,01-11-2014,300000.0
5838,/organization/ani-technologies,/funding-round/9f11a989ffaa5b2392746f200a9cb632,angel,,21-04-2011,330000.0
5846,/organization/aniika,/funding-round/c2d957592f087fffe4973cee87878f37,angel,,30-07-2012,500000.0
5904,/organization/annelutfen-com,/funding-round/72a6c57ff212390978625296b9f7d04b,angel,,01-06-2013,1230000.0
5934,/organization/anonymask,/funding-round/8db7cdd0612dceaee8c9fb9cf2498ca7,angel,,01-07-2014,25000.0
5959,/organization/answerly,/funding-round/3a66840215848a005f7dbf471a1d8ab8,angel,,01-07-2010,
5985,/organization/antelope-series-by-wearable-life-science-gmbh,/funding-round/779d092192de3c7ab8d7d58be618b727,angel,,01-03-2015,503615.0
5987,/organization/antelope-series-by-wearable-life-science-gmbh,/funding-round/d07530ec35d989b7459040495dd1e1be,angel,,01-09-2014,328299.0
